,nickname,text,score,like,dislike,time,watch_movie
589,몽몽스(tvtp****),진짜 마니줘서 별3개 디지니영화아니라고 생각하면 별3개에 볼만함,6,2,0,2020-09-23 16:49:00,0
590,변창민(juli****),저는 정말 재미있게 봤습니다~!!!,9,2,0,2020-09-23 16:46:00,0
591,곤(rhdm****),영상은 화려하고 중국 색감이 예뻤음. 디즈니라 기대했던 OST는 전혀 돋보이지 않음. 중간중간 개연성 똥망...ㅠㅠ 취향이지만 남주 외모에 안 끌림. 만화보다 오그라드는 설정...(마지막에 뮬란 등 뒤로 피닉스 날개...,7,2,0,2020-09-23 16:14:00,0
592,bbv(wm2o****),어릴적 보던 애니메이션이랑은 또 다른 느낌,7,2,0,2020-09-23 13:03:00,0
593,스타박스(agfm****),스케일은 진짜 미쳤더라.. 역시 디즈니였어,8,2,0,2020-09-23 12:46:00,0
594,씨카이저(wjdt****),"진짜 원작파괴인데 이건.. 리메이크라 해놓고 원작의 좋은 요소, 좋은 장면은 다빼버렸음 코로나, 위구르지역문제 등 외적 문제 다 논외로 치고 봐도 영화자체가 별로..",5,2,0,2020-09-23 12:23:00,0
595,DOHR(mkkn****),원작 스토리를 따라가나 뮬란의 영웅적 성향만을 강조한 영화같아 아쉬움.등장인물간의 케미가.. 너무나 아쉬움.,6,2,0,2020-09-23 11:16:00,0
596,꼬마(koma****),정말 8점때 맞나요? 초능력 뮬란이라니.. 동양의 기를 알지도모르는 서양인이 표현한  스타워즈 포스..  뮬란은 원작에서도 힘으로 상대를 제압하는 캐릭터가아닌데..  영화 제아이제인 안봤냐 이것드라.. 알라딘으로 감...,1,2,0,2020-09-23 08:58:00,0
597,주주파파(jack****),영어로 하니 뭔가 이상함...중국어로 해서 번역하지....,4,2,0,2020-09-23 06:45:00,0
598,roa(road****),중국 홍보용 영화는 온전한 창작물이 아니다.,2,2,0,2020-09-22 23:04:00,0
599,dal(g4ok****),헐 기대 안했는데 잼나여ㅠㅠㅠ,9,2,0,2020-09-22 19:18:00,0
600,인피니티(dzsg****),원작만큼 노래가 많이 나오지 않는게 좀 아쉽다ㅜ,7,2,0,2020-09-22 19:12:00,0
