,nickname,text,score,like,dislike,time,watch_movie
182,민지(minj****),z wkdsksgksk alclssus hhh,1,18,3,2017-03-25 02:06:00,0
183,쌤(miff****),어휴...에휴...휴...,1,21,6,2017-03-26 00:03:00,0
184,만두(3mj1****),....하이구야 쩝쩝,1,21,6,2017-03-24 19:13:00,0
185,나(chrg****),조연들은 무슨 죄냐 상수야!!최고급 연기자들을 조연으로 쓰냐!!제정신이냐!,1,21,6,2017-03-24 00:33:00,0
186,우주하늘(john****),으휴 김민희 엄마라는 여자가 이랬답니다. - 곱게 키운 딸입니다. 함부로 말하지 마세요. - 완전 모전녀전 무조건 잘못했다고 무릎 꿇고 싹싹 빌어도 부족할 판국에... 구역질난다. 증말...,1,23,8,2017-03-24 10:10:00,0
187,띵띵아(mast****),영화계에서 얼굴을 안보면 좋겠다..,1,16,2,2017-03-25 15:50:00,0
188,타이니(aman****),뭐야.. 이 영화 보는사람도 있어? 역시 볼사람은 보는구나,1,16,2,2017-03-25 15:37:00,0
189,0뿌잉뿌잉0(gamj****),내 인생 최악의 영화절대 보지마세요,1,16,2,2017-03-25 14:54:00,0
190,청률(hala****),부도덕한 본인들 행실을 예술로 포장하는건 영화와 예술을 폄하하는일,1,16,2,2017-03-25 13:33:00,0
191,삐코얼룩이(go57****),줄거리가... 자기들만의 세계인듯,1,17,3,2017-03-25 16:45:00,0
192,lightcollecteur(malm****),짱난다 이걸 왜 돈주고 봤는지. 일기는 일기장에.스크립터쓰는애가 훨 이쁨영희야 넌 진짜 이뻐 넌 진짜 매력적이야 이걸 영화 내내 반복하는데 도대체 뭐가;;;주인공도 중2병 정신질환있는 여자같음. 실제로 불륜이든 아니...,1,18,4,2017-04-01 16:29:00,0
193,하와이(aik4****),홍상수감독영화가 그동안 극사실주의여서 때론 민낯을 들키는 기준으로 때로는 훔쳐보는 기분으로 때로는 지식인들도 똑같구나 하는 마음으로 꼭 찾아봤던 1인으로 저 영화는 자기들 불륜을 포장한 영화가 아니다.돈이 아깝고 나...,1,18,4,2017-03-25 14:25:00,0
194,조돈근(peug****),할말이없습니다...,1,18,4,2017-03-24 08:52:00,0
195,7SG2(club****),대가리 빈 O과 늙어빠진 할뱡 OOO  또 뭘 찍엇다냐?에라이 캌아아앜 퉤!퉤!,1,18,4,2017-03-24 07:51:00,0
196,MilkyBlue(shel****),유일하게 본 홍상수 영화에서 인간은 못되도 괴물은 되지 말자는 대사가 있던데...,1,19,5,2017-03-26 21:36:00,0
197,맹고(93__****),평식아 7점이나 되냐 이게?,1,19,5,2017-03-24 01:54:00,0
198,여례(ygy0****),기분나쁘다 이딴걸 보는 새끼들도 있다니 미래의 볼륜남(녀)아니면 현재 볼륜남(녀)겠네,1,24,10,2017-03-24 16:55:00,0
199,love****,"애매하다 참. 연기도 애매, 감독의 메세지도 애매. 영화보고나면 생각은 많아지지만 참 찝찝한 영화다. 예술의 정의가 뭘지..",4,16,3,2017-04-08 00:16:00,관람객
200,외계인a(song****),자의식 과잉으로 완성된 완전한 그사세.,3,13,1,2017-03-30 19:39:00,관람객
201,dddo****,이 더러운 이야기 가상이 아닌 실화라서 싫네요. 절대안봅니다.,1,14,2,2017-03-25 16:14:00,0
202,And(sham****),점수 없엉~~    -10점 줄께,1,14,2,2017-03-25 12:51:00,0
203,롤리(heav****),개똥철학을 아름답게 포장하려 애썼으나 아직도 본인이 청춘인줄 아는 노망난 할아버지 늙어서 진심 감떨어진듯 니들이 말하는 사랑도 청춘일때 하는거지 노망난 할아버지의 예술허세 개똥철학 사랑은 추하다 주름낀 얼굴로 울면서...,1,15,3,2017-04-06 02:22:00,0
204,ashu(myas****),"알았어, 알았다고 둘이 사랑하라고. 대신 돈들여서 이런거 만들지 말라고.",1,15,3,2017-03-31 18:18:00,0
